task,model_family,model_size,parse_success_rate,sensitivity,specificity,accuracy,f1_score
therapy_engagement,qwen,0.6b,1.0,0.9928571428571428,0.5357142857142857,0.6880952380952381,0.6797066014669927
therapy_request,qwen,0.6b,1.0,0.6884615384615385,0.953846153846154,0.8653846153846154,0.7732181425485961
suicidal_ideation,qwen,1.7b,0.9577777777777776,0.6666666666666666,0.9644444444444444,0.8155555555555556,0.7832898172323759
therapy_engagement,qwen,1.7b,1.0,0.9785714285714284,0.9178571428571428,0.938095238095238,0.9133333333333332
therapy_request,qwen,1.7b,0.9987179487179488,0.8538461538461538,1.0,0.9512820512820512,0.921161825726141
suicidal_ideation,qwen,14b,1.0,0.9777777777777776,0.9422222222222222,0.96,0.9606986899563318
therapy_engagement,qwen,14b,1.0,0.55,1.0,0.85,0.7096774193548387
therapy_request,qwen,14b,1.0,0.9961538461538462,0.9865384615384616,0.9897435897435898,0.9847908745247148
suicidal_ideation,qwen,32b,1.0,0.9777777777777776,0.9777777777777776,0.9777777777777776,0.9777777777777776
therapy_engagement,qwen,32b,1.0,0.6857142857142857,1.0,0.8952380952380953,0.8135593220338984
therapy_request,qwen,32b,1.0,1.0,0.9403846153846154,0.9602564102564104,0.943738656987296
suicidal_ideation,qwen,4b,1.0,0.9111111111111112,0.9555555555555556,0.9333333333333332,0.931818181818182
therapy_engagement,qwen,4b,1.0,0.9642857142857144,0.975,0.9714285714285714,0.9574468085106383
therapy_request,qwen,4b,1.0,0.9923076923076924,0.9788461538461538,0.9833333333333332,0.9754253308128544
suicidal_ideation,qwen,8b,1.0,0.9555555555555556,0.96,0.9577777777777776,0.957683741648107
therapy_engagement,qwen,8b,1.0,0.6142857142857143,0.9892857142857144,0.8642857142857143,0.7510917030567685
therapy_request,qwen,8b,1.0,1.0,0.9980769230769232,0.9987179487179488,0.9980806142034548
therapy_engagement,qwen1.5,0.5b-it,0.9523809523809524,0.0357142857142857,0.8678571428571429,0.5904761904761905,0.0549450549450549
